iter	Passed	Remaining
410	4480	6421
411	4485	6402
412	4495	6389
413	4501	6372
414	4511	6359
415	4517	6341
416	4529	6332
417	4537	6318
418	4543	6299
419	4549	6282
420	4559	6270
421	4564	6251
422	4573	6238
423	4580	6222
424	4587	6206
425	4592	6187
426	4606	6180
427	4611	6163
428	4618	6147
429	4624	6129
430	4631	6114
431	4637	6097
432	4643	6080
433	4650	6065
434	4655	6046
435	4664	6034
436	4670	6016
437	4679	6004
438	4685	5987
439	4692	5972
440	4697	5954
441	4702	5936
442	4714	5927
443	4720	5911
444	4729	5898
445	4736	5883
446	4742	5867
447	4747	5849
448	4757	5838
449	4765	5825
450	4774	5811
451	4778	5793
452	4786	5779
453	4792	5763
454	4796	5745
455	4809	5738
456	4815	5721
457	4821	5705
458	4826	5688
459	4834	5674
460	4839	5658
461	4844	5641
462	4851	5627
463	4856	5610
464	4863	5596
465	4868	5578
466	4872	5561
467	4884	5552
468	4893	5540
469	4898	5523
470	4903	5507
471	4911	5494
472	4917	5479
473	4929	5469
474	4936	5456
475	4944	5443
476	4949	5426
477	4956	5412
478	4964	5399
479	4971	5386
480	4976	5370
481	4981	5353
482	4988	5340
483	4994	5324
484	4999	5309
485	5009	5298
486	5016	5283
487	5021	5268
488	5025	5251
489	5033	5239
490	5038	5223
491	5044	5208
492	5057	5201
493	5066	5189
494	5071	5174
495	5078	5160
496	5086	5148
497	5095	5136
498	5102	5123
499	5113	5113
500	5119	5098
501	5130	5089
502	5136	5074
503	5144	5062
504	5150	5048
505	5161	5038
506	5168	5025
507	5176	5013
508	5183	4999
509	5193	4990
510	5204	4980
511	5212	4967
512	5223	4958
513	5230	4945
514	5238	4933
515	5249	4923
516	5258	4912
517	5266	4900
518	5273	4887
519	5284	4878
520	5295	4868
521	5312	4864
522	5322	4853
523	5330	4842
524	5344	4835
525	5355	4826
526	5364	4814
527	5374	4804
528	5383	4792
529	5401	4789
530	5411	4780
531	5426	4774
532	5437	4764
533	5448	4754
534	5455	4742
535	5471	4736
536	5484	4728
537	5498	4721
538	5509	4711
539	5523	4705
540	5531	4693
541	5542	4683
542	5550	4671
543	5568	4667
544	5576	4655
545	5587	4645
546	5595	4633
547	5608	4625
548	5620	4616
549	5626	4603
550	5639	4595
551	5649	4584
552	5667	4581
553	5679	4572
554	5686	4559
555	5696	4549
556	5707	4539
557	5716	4528
558	5725	4516
559	5732	4503
560	5739	4491
561	5750	4481
562	5759	4470
563	5765	4456
564	5777	4448
565	5789	4438
566	5797	4427
567	5806	4416
568	5813	4403
569	5827	4395
570	5838	4386
571	5845	4373
572	5853	4362
573	5859	4349
574	5875	4342
575	5891	4336
576	5904	4328
577	5919	4321
578	5931	4312
579	5938	4299
580	5951	4292
581	5962	4282
582	5970	4270
583	5981	4260
584	5993	4251
585	6001	4240
586	6011	4229
587	6019	4217
588	6032	4209
589	6042	4199
590	6054	4189
591	6066	4181
592	6080	4173
593	6088	4161
594	6097	4150
595	6106	4139
596	6118	4130
597	6131	4121
598	6144	4113
599	6153	4102
600	6168	4095
601	6178	4084
602	6189	4074
603	6196	4062
604	6207	4052
605	6219	4043
606	6232	4034
607	6240	4023
608	6251	4013
609	6261	4003
610	6269	3991
611	6281	3982
612	6288	3970
613	6301	3961
614	6313	3952
615	6320	3940
616	6329	3928
617	6338	3918
618	6349	3908
619	6359	3897
620	6368	3886
621	6382	3878
622	6395	3870
623	6410	3862
624	6423	3854
625	6434	3844
626	6440	3831
627	6452	3822
628	6464	3812
629	6471	3800
630	6482	3790
631	6488	3778
632	6504	3771
633	6515	3761
634	6521	3748
635	6533	3739
636	6545	3730
637	6555	3719
638	6566	3709
639	6581	3702
640	6594	3693
641	6603	3682
642	6622	3676
643	6630	3665
644	6639	3654
645	6653	3646
646	6663	3635
647	6676	3626
648	6686	3616
649	6698	3606
650	6704	3594
651	6713	3583
652	6720	3571
653	6734	3562
654	6748	3554
655	6760	3545
656	6766	3532
657	6779	3523
658	6791	3514
659	6797	3501
660	6807	3491
661	6815	3479
662	6829	3471
663	6844	3463
664	6855	3453
665	6861	3441
666	6874	3432
667	6886	3422
668	6894	3411
669	6907	3402
670	6920	3393
671	6932	3383
672	6939	3371
673	6952	3362
674	6966	3354
675	6974	3342
676	6988	3334
677	7004	3326
678	7017	3317
679	7029	3308
680	7038	3297
681	7062	3292
682	7072	3282
683	7079	3270
684	7090	3260
685	7106	3252
686	7116	3242
687	7124	3231
688	7131	3219
689	7146	3210
690	7155	3199
691	7162	3188
692	7170	3176
693	7178	3165
694	7190	3155
695	7201	3145
696	7208	3133
697	7219	3123
698	7228	3112
699	7241	3103
700	7248	3091
701	7259	3081
702	7272	3072
703	7279	3060
704	7336	3069
705	7357	3063
706	7370	3054
707	7386	3046
708	7394	3035
709	7403	3023
710	7410	3012
711	7427	3004
712	7435	2993
713	7448	2983
714	7458	2972
715	7467	2961
716	7478	2951
717	7492	2942
718	7504	2932
719	7511	2921
720	7522	2910
721	7529	2899
722	7544	2890
723	7556	2880
724	7562	2868
725	7573	2858
726	7581	2847
727	7603	2840
728	7609	2828
729	7620	2818
730	7631	2808
731	7638	2796
732	7648	2786
733	7655	2774
734	7667	2764
735	7682	2755
736	7689	2743
737	7698	2733
738	7709	2722
739	7723	2713
740	7730	2702
741	7740	2691
742	7746	2679
743	7756	2668
744	7771	2660
745	7778	2648
746	7788	2637
747	7794	2625
748	7808	2616
749	7819	2606
750	7825	2594
751	7837	2584
752	7844	2573
753	7853	2562
754	7859	2550
755	7868	2539
756	7875	2528
757	7886	2517
758	7898	2507
759	7905	2496
760	7913	2485
761	7926	2475
762	7935	2464
763	7943	2453
764	7949	2442
765	7958	2431
766	7964	2419
767	7980	2410
768	7992	2400
769	8004	2390
770	8012	2379
771	8023	2369
772	8035	2359
773	8042	2348
774	8057	2339
775	8068	2329
776	8075	2317
777	8084	2306
778	8091	2295
779	8105	2286
780	8115	2275
781	8122	2264
782	8133	2254
783	8147	2244
784	8166	2236
785	8177	2226
786	8185	2215
787	8199	2206
788	8214	2196
789	8227	2186
790	8236	2176
791	8247	2166
792	8258	2155
793	8268	2145
794	8275	2133
795	8289	2124
796	8302	2114
797	8309	2103
798	8320	2093
799	8328	2082
800	8340	2072
801	8351	2061
802	8358	2050
803	8365	2039
804	8375	2028
805	8390	2019
806	8397	2008
807	8408	1997
808	8414	1986
809	8426	1976
810	8433	1965
811	8441	1954
812	8451	1944
813	8463	1933
814	8470	1922
815	8479	1912
816	8489	1901
817	8500	1891
818	8511	1881
819	8522	1870
820	8531	1860
821	8538	1848
822	8545	1837
823	8551	1826
824	8564	1816
825	8572	1805
826	8577	1794
827	8585	1783
828	8592	1772
829	8600	1761
830	8607	1750
831	8612	1739
832	8622	1728
833	8627	1717
834	8638	1706
835	8646	1696
836	8652	1684
837	8657	1673
838	8668	1663
839	8678	1653
840	8684	1641
841	8691	1630
842	8699	1620
843	8704	1608
844	8713	1598
845	8720	1587
846	8730	1577
847	8735	1565
848	8743	1555
849	8748	1543
850	8754	1532
851	8764	1522
852	8772	1511
853	8777	1500
854	8782	1489
855	8792	1479
856	8798	1468
857	8808	1457
858	8814	1446
859	8822	1436
860	8827	1425
861	8841	1415
862	8849	1404
863	8854	1393
864	8860	1382
865	8870	1372
866	8875	1361
867	8886	1351
868	8892	1340
869	8903	1330
870	8909	1319
871	8917	1308
872	8922	1298
873	8930	1287
874	8935	1276
875	8946	1266
876	8953	1255
877	8963	1245
878	8967	1234
879	8977	1224
880	8982	1213
881	8991	1202
882	8997	1192
883	9003	1181
884	9010	1170
885	9015	1160
886	9029	1150
887	9037	1139
888	9042	1128
889	9047	1118
890	9057	1108
891	9070	1098
892	9078	1087
893	9084	1077
894	9089	1066
895	9100	1056
896	9108	1045
897	9115	1035
898	9123	1024
899	9129	1014
900	9134	1003
901	9147	993
902	9159	983
903	9166	973
904	9175	963
905	9181	952
906	9195	942
907	9207	932
908	9213	922
909	9223	912
910	9229	901
911	9242	891
912	9256	882
913	9262	871
914	9272	861
915	9278	850
916	9292	841
917	9304	831
918	9310	820
919	9320	810
920	9327	800
921	9336	789
922	9348	779
923	9357	769
924	9365	759
925	9373	749
926	9380	738
927	9392	728
928	9404	718
929	9412	708
930	9422	698
931	9428	687
932	9441	678
933	9450	667
934	9457	657
935	9464	647
936	9470	636
937	9477	626
938	9489	616
939	9499	606
940	9506	596
941	9519	586
942	9530	576
943	9538	565
944	9547	555
945	9554	545
946	9565	535
947	9577	525
948	9582	514
949	9592	504
950	9598	494
951	9610	484
952	9623	474
953	9629	464
954	9639	454
955	9646	444
956	9659	434
957	9669	423
958	9676	413
959	9685	403
960	9691	393
961	9699	383
962	9709	373
963	9719	362
964	9725	352
965	9736	342
966	9745	332
967	9757	322
968	9766	312
969	9774	302
970	9781	292
971	9788	281
972	9803	272
973	9816	262
974	9828	252
975	9836	241
976	9847	231
977	9859	221
978	9873	211
979	9886	201
980	9897	191
981	9914	181
982	9928	171
983	9937	161
984	9952	151
985	9966	141
986	9973	131
987	9985	121
988	9998	111
989	10007	101
990	10016	90
991	10028	80
992	10040	70
993	10047	60
994	10059	50
995	10067	40
996	10079	30
997	10089	20
998	10096	10
999	10112	0
