iter	Logloss
0	0.636788579
1	0.5846732467
2	0.5358850065
3	0.4932377624
4	0.4521792242
5	0.4163148579
6	0.3867126052
7	0.3494820667
8	0.319861526
9	0.3002087179
10	0.2750800977
11	0.252309187
12	0.2328395983
13	0.2153686557
14	0.2010426589
15	0.1869805279
16	0.1704039077
17	0.158152106
18	0.1473503783
19	0.1351900696
20	0.1227957362
21	0.1145603158
22	0.105635575
23	0.09828471548
24	0.09372209695
25	0.08619023272
26	0.0801080551
27	0.07544409245
28	0.07243641747
29	0.06797481569
30	0.06391976879
31	0.05956957379
32	0.05597500235
33	0.05245348351
34	0.05034271325
35	0.04829898199
36	0.04608885583
37	0.04314022497
38	0.04137146953
39	0.03961671911
40	0.03778837578
41	0.03629445767
42	0.03441531248
43	0.03236237423
44	0.03132891894
45	0.02978551954
46	0.0282862902
47	0.02703291186
48	0.02588685323
49	0.0244384011
50	0.02361058136
51	0.02248697343
52	0.02137238122
53	0.02043442589
54	0.01945700724
55	0.0186310246
56	0.01809098838
57	0.01741429196
58	0.0168382854
59	0.01648031811
60	0.01617150385
61	0.01574530714
62	0.01514310641
63	0.0148601335
64	0.014290722
65	0.01379369507
66	0.01346262215
67	0.01303803429
68	0.01264688897
69	0.01221246014
70	0.01196140508
71	0.01166187239
72	0.01147080595
73	0.01124635976
74	0.01107786917
75	0.01089765355
76	0.01073959564
77	0.01049347098
78	0.01028349548
79	0.009922470731
80	0.009711059913
81	0.009593955598
82	0.009488209176
83	0.009185404991
84	0.009031631823
85	0.008970933372
86	0.008891942636
87	0.008747551345
88	0.008656983642
89	0.008460165125
90	0.008388894446
91	0.008197038679
92	0.008185963342
93	0.007958339206
94	0.007816147317
95	0.007754232376
96	0.007631797089
97	0.00753854036
98	0.007529018559
99	0.00750481978
100	0.00741671112
101	0.00732828144
102	0.007269213261
103	0.007224362311
104	0.007192168097
105	0.007094536455
106	0.007080145734
107	0.006978906824
108	0.006856342142
109	0.006846030088
110	0.006832171854
111	0.006789984982
112	0.006779701365
113	0.006673223939
114	0.00664727666
115	0.006634933672
116	0.006522206978
117	0.00646877902
118	0.006359867202
119	0.006303407337
120	0.006294315709
121	0.006218808683
122	0.006108860561
123	0.006041282732
124	0.006022349312
125	0.006002316387
126	0.005914029964
127	0.00578867526
128	0.005747893378
129	0.005672139737
130	0.005561536933
131	0.005532537729
132	0.005469650282
133	0.00544845062
134	0.005437157819
135	0.005329811839
136	0.005191626444
137	0.005152917457
138	0.005064882381
139	0.005054339237
140	0.005044023912
141	0.005035451261
142	0.004984302546
143	0.004957887755
